Checking L.Coding.EnvSupply (/Users/alsg/Agentic/Bedrock/src/L/Coding/EnvSupply.lagda.md).
Total                                            5,818ms 
Miscellaneous                                    3,282ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         149ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               143ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         131ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               124ms 
L.Coding.EnvSupply.SupplyEnv.someEnv               113ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₁               85ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-allin     74ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-forall    63ms 
L.Coding.EnvSupply.Fact.ConsK.consK-allin           59ms 
L.Coding.EnvSupply.Fact.subKSucc-gen                57ms 
L.Coding.EnvSupply.SupplyMerge._.memTr              53ms 
L.Coding.EnvSupply.Fact.ConsK.consK-forall          51ms 
L.Coding.EnvSupply.SupplyMerge._.go                 43ms 
L.Coding.EnvSupply.SupplyEnv.envInK-imp             40ms 
L.Coding.EnvSupply.SupplyEnv.envInK-mem             38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-neg             38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-gen             37ms 
L.Coding.EnvSupply.Fact.EnvClosure.envConsK         37ms 
L.Coding.EnvSupply.SupplyEnv.envK-imp               33ms 
L.Coding.EnvSupply.SupplyEnv.envInK-top             33ms 
L.Coding.EnvSupply.SupplyEnv.envK-allin             33ms 
L.Coding.EnvSupply.SupplyMerge._.sub                32ms 
L.Coding.EnvSupply.SupplyEnv._.go                   32ms 
L.Coding.EnvSupply.SupplyMerge._.step               32ms 
L.Coding.EnvSupply.SupplyMerge._.sup                31ms 
L.Coding.EnvSupply.SupplyMerge._.sub                31ms 
L.Coding.EnvSupply.Fact.subK₀-imp                   30ms 
L.Coding.EnvSupply.Fact.subK₁-imp                   30ms 
L.Coding.EnvSupply.Fact.wKfact                      29ms 
L.Coding.EnvSupply.Fact.valV                        29ms 
L.Coding.EnvSupply.Fact.valW                        28ms 
L.Coding.EnvSupply.SupplyMerge._.sub                28ms 
L.Coding.EnvSupply.Fact.tmValK                      27ms 
L.Coding.EnvSupply.Fact.subK-allin                  27ms 
L.Coding.EnvSupply.SupplyEnv.envK-neg               27ms 
L.Coding.EnvSupply.SupplyMerge._.all                27ms 
L.Coding.EnvSupply.Fact.subK₁-and                   26ms 
L.Coding.EnvSupply.Fact.subK₀-and                   26ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-exist     26ms 
L.Coding.EnvSupply.SupplyEnv.envK-mem               26ms 
L.Coding.EnvSupply.Fact._.varCase                   25ms 
L.Coding.EnvSupply.Fact.subK-un                     24ms 
L.Coding.EnvSupply.SupplyEnv.envK-top               24ms 
L.Coding.EnvSupply.Fact.subK-neg                    24ms 
L.Coding.EnvSupply.SupplyEnv._._.δ₄∈λ               22ms 
L.Coding.EnvSupply.Fact.subK-gen                    21ms 
L.Coding.EnvSupply.SupplyEnv.envOverAt-in           21ms 
L.Coding.EnvSupply.Fact.valK                        21ms 
L.Coding.EnvSupply.SupplyEnv.envK-gen               20ms 
L.Coding.EnvSupply.SupplyEnv._._._._.sat            20ms 
L.Coding.EnvSupply.SupplyEnv._._._.member           19ms 
L.Coding.EnvSupply.SupplyEnv._.fwd                  19ms 
L.Coding.EnvSupply.Fact.ConsK.consK-exist           19ms 
L.Coding.EnvSupply.Fact.valK-un                     19ms 
L.Coding.EnvSupply.SupplyEnv._.EK                   17ms 
L.Coding.EnvSupply.SupplyEnv.envSetAt-ident         17ms 
L.Coding.EnvSupply.Fact._.conCase                   16ms 
L.Coding.EnvSupply.SupplyEnv._._.ident              15ms 
L.Coding.EnvSupply.SupplyEnv._.arityK₀              15ms 
L.Coding.EnvSupply.Lset-fin                         14ms 
L.Coding.EnvSupply.SupplyEnv._.envInK₀              14ms 
L.Coding.EnvSupply.SupplyMerge.finSetK              13ms 
L.Coding.EnvSupply.SupplyEnv.genEq                  13ms 
L.Coding.EnvSupply.SupplyEnv.envSetK                13ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₂               11ms 
L.Coding.EnvSupply.SupplyEnv._._.pair∈δ₃            11ms 
L.Coding.EnvSupply.Fact.EnvClosure.giK              11ms 
L.Coding.EnvSupply.SupplyMerge.finSup               11ms 
L.Coding.EnvSupply.SupplyEnv._._.a∈δ₂               10ms 
L.Coding.EnvSupply.SupplyEnv.union∈Lset-suc         10ms 
L.Coding.EnvSupply.SupplyMerge._.oτ                 10ms 
